ID,FTF,OLA,OLS,HYA,HYS,HYF,8to10,10to12,12to3,3to5,5to8,timeblock,MWF,TR,MW,MF,oneday,online,resstatus,class,age,workstatus,major
98415851,2,1,3,4,6,5,5,2,3,4,4,3,,3,1,,,2,1,1,2,2,28
98415882,1,6,4,5,3,2,5,2,2,4,4,3,5,3,,,,1,0,4,3,1,26
98415894,1,3,6,2,5,4,5,2,1,3,4,2,,3,1,,4,2,0,2,2,3,29
98415895,3,1,4,2,5,6,3,1,2,4,5,3,5,,,,,2,0,3,2,2,26
98415897,1,2,3,4,5,6,1,1,2,4,5,,,,,,,,,,,,
98415902,1,3,6,2,4,5,2,1,3,4,5,3,5,,1,,,2,0,3,2,3,5
98415906,1,3,4,2,5,6,3,1,2,4,5,2,,3,1,,,2,1,3,2,2,29
98415910,1,5,6,3,2,4,2,2,3,4,5,2,,3,1,,,2,0,3,2,1,1
98415912,1,2,4,3,5,6,,,,,,,,,,,,,,,,,
98415946,1,3,4,5,2,6,3,1,2,4,5,3,5,3,1,,,2,1,3,2,3,17
98415957,2,5,6,3,4,1,1,1,1,5,5,2,5,3,1,,,2,0,1,2,2,23
98415959,1,2,3,4,5,6,1,2,3,4,5,3,5,,,,,2,1,2,2,2,17
98415971,3,5,2,6,1,4,5,1,2,4,5,2,,3,1,,,2,1,3,2,2,4
98415981,1,6,5,3,2,4,2,1,3,3,5,3,,3,1,,,2,0,1,2,3,5
98415991,1,2,6,3,4,5,5,3,2,1,4,3,5,,,,,2,0,2,2,2,14
98415992,1,5,6,2,3,4,2,1,3,4,5,3,5,3,,,,2,0,1,2,2,4
98415996,2,4,5,6,3,1,5,4,2,1,3,2,,3,1,,4,2,1,4,2,2,5
98415997,1,4,5,2,3,6,4,1,2,3,5,3,5,3,,,,2,1,1,1,3,16
98416003,1,2,2,4,5,6,3,3,4,5,5,2,5,3,,,,2,1,2,2,2,11
98416007,2,3,1,4,5,6,4,1,1,5,5,3,5,,,,,2,0,1,2,2,5
98416010,4,1,2,3,5,6,5,3,1,2,4,3,,,1,,,2,0,3,2,3,5
98416036,2,1,4,5,6,3,5,1,2,4,5,3,5,3,,,,2,1,1,1,3,14
98416063,2,1,5,4,6,3,3,1,1,5,5,2,,3,1,,,2,1,2,2,3,1
98416065,2,1,3,5,6,4,2,1,4,5,5,2,,3,1,,,2,0,1,1,2,23
98416078,1,2,4,3,6,5,4,1,1,4,5,3,5,3,,,,2,0,3,2,3,25
98416080,2,1,3,6,5,4,5,4,1,1,1,2,,3,1,2,,2,0,4,3,1,23
98416081,4,1,2,3,5,6,3,3,3,5,5,2,,3,,,,1,0,2,4,2,23
98416087,1,2,3,3,3,3,5,3,1,5,5,1,5,,1,2,,2,1,2,2,2,11
98416139,6,1,2,4,5,3,5,3,1,1,3,2,,3,1,2,,1,0,3,2,2,29
98416153,1,3,6,2,5,4,1,2,3,5,4,3,5,3,1,,4,2,1,2,2,2,17
98416156,1,2,3,4,5,6,5,2,1,4,4,2,,3,,,,2,0,3,2,2,18
98416168,1,2,6,3,4,5,5,4,3,2,1,1,,,,,4,2,1,4,2,3,29
98416227,1,2,6,4,5,3,1,1,1,3,5,3,5,3,,,,2,0,1,2,3,26
98416239,1,2,2,1,2,4,2,1,3,3,5,2,5,,,,,2,0,3,3,1,8
98416241,6,1,2,4,5,3,5,5,5,4,1,1,,,,,4,1,0,4,3,1,5
98416245,1,6,3,2,5,4,1,1,4,5,3,2,5,3,,,,2,1,3,2,3,24
98416269,5,1,2,3,4,6,2,1,3,4,5,1,,3,1,,4,1,0,3,2,2,14
98416295,1,2,5,4,3,6,1,2,4,,5,3,5,,,,4,2,0,3,2,3,23
98416297,2,1,5,4,6,3,5,1,3,5,5,2,,3,1,,,2,1,4,2,1,4
98416316,1,1,2,2,3,3,4,2,1,3,4,2,,,1,,,2,0,2,2,2,26
98416325,1,2,6,3,4,5,1,1,3,5,5,3,5,,,,,2,1,2,2,3,17
98416326,1,2,4,5,3,6,1,2,3,4,5,3,5,,,,,2,0,3,5,3,7
98416359,2,1,1,2,1,1,1,2,5,5,5,3,5,,,,4,2,1,1,1,3,19
